iter	Passed	Remaining
0	10	10923
1	20	10056
2	31	10436
3	39	9827
4	48	9681
5	56	9421
6	67	9551
7	75	9348
8	82	9135
9	90	8952
10	99	8928
11	108	8895
12	115	8789
13	123	8723
14	131	8641
15	139	8574
16	147	8501
17	154	8431
18	161	8332
19	169	8283
20	176	8244
21	184	8199
22	191	8148
23	199	8115
24	206	8067
25	214	8036
26	221	7991
27	229	7967
28	236	7926
29	244	7902
30	252	7898
31	260	7893
32	269	7909
33	279	7930
34	285	7874
35	293	7853
36	300	7816
37	307	7793
38	315	7772
39	322	7740
40	329	7699
41	336	7664
42	342	7621
43	348	7579
44	356	7560
45	362	7519
46	370	7518
47	377	7495
48	384	7471
49	391	7439
50	398	7423
51	406	7412
52	413	7384
53	420	7362
54	426	7329
55	433	7308
56	441	7305
57	448	7290
58	456	7276
59	463	7262
60	470	7237
61	476	7211
62	483	7188
63	490	7166
64	496	7139
65	503	7121
66	509	7089
67	514	7056
68	521	7033
69	527	7006
70	534	6991
71	540	6972
72	547	6952
73	555	6946
74	561	6927
75	568	6911
76	574	6885
77	580	6861
78	587	6846
79	593	6829
80	600	6808
81	606	6786
82	612	6767
83	619	6750
84	625	6733
85	631	6714
86	638	6699
87	645	6687
88	651	6672
89	658	6659
90	664	6640
91	671	6625
92	677	6608
93	684	6593
94	690	6574
95	696	6561
96	703	6547
97	709	6529
98	715	6514
99	722	6499
100	728	6486
101	735	6472
102	740	6452
103	746	6435
104	752	6416
105	758	6401
106	765	6392
107	772	6377
108	778	6365
109	784	6348
110	790	6333
111	797	6319
112	803	6307
113	810	6298
114	815	6279
115	821	6261
116	827	6248
117	833	6232
118	840	6221
119	846	6209
120	853	6197
121	859	6183
122	865	6170
123	871	6153
124	876	6138
125	882	6120
126	888	6104
127	893	6089
128	899	6076
129	905	6059
130	911	6048
131	917	6034
132	924	6024
133	930	6013
134	936	6000
135	942	5988
136	948	5973
137	954	5962
138	961	5953
139	968	5947
140	974	5934
141	980	5923
142	985	5908
143	991	5896
144	997	5881
145	1003	5868
146	1009	5856
147	1015	5845
148	1021	5835
149	1027	5823
150	1033	5808
151	1039	5798
152	1045	5786
153	1050	5772
154	1056	5760
155	1062	5746
156	1067	5733
157	1074	5723
158	1079	5708
159	1084	5695
160	1090	5683
161	1096	5671
162	1101	5657
163	1107	5644
164	1113	5632
165	1118	5619
166	1124	5607
167	1129	5592
168	1134	5580
169	1140	5568
170	1146	5556
171	1152	5545
172	1157	5535
173	1163	5521
174	1168	5509
175	1174	5496
176	1179	5483
177	1184	5472
178	1190	5460
179	1196	5449
180	1201	5437
181	1206	5424
182	1212	5412
183	1218	5402
184	1223	5389
185	1228	5376
186	1234	5365
187	1239	5353
188	1244	5339
189	1249	5327
190	1255	5316
191	1260	5303
192	1265	5292
193	1271	5281
194	1276	5267
195	1281	5256
196	1286	5245
197	1291	5232
198	1296	5219
199	1301	5206
200	1306	5195
201	1312	5184
202	1317	5172
203	1322	5161
204	1327	5149
205	1333	5138
206	1338	5126
207	1343	5114
208	1348	5103
209	1353	5090
210	1358	5078
211	1363	5066
212	1368	5055
213	1372	5042
214	1378	5031
215	1382	5019
216	1401	5056
217	1406	5044
218	1411	5033
219	1417	5025
220	1422	5015
221	1428	5006
222	1434	4996
223	1438	4984
224	1444	4974
225	1449	4964
226	1454	4953
227	1459	4943
228	1464	4930
229	1469	4920
230	1475	4910
231	1479	4899
232	1484	4887
233	1489	4877
234	1494	4866
235	1500	4856
236	1505	4846
237	1510	4835
238	1515	4826
239	1520	4815
240	1526	4807
241	1531	4797
242	1536	4787
243	1541	4777
244	1546	4766
245	1551	4756
246	1556	4746
247	1561	4736
248	1567	4726
249	1572	4717
250	1577	4706
251	1582	4697
252	1587	4687
253	1592	4678
254	1597	4668
255	1603	4659
256	1608	4649
257	1613	4639
258	1618	4631
259	1623	4621
260	1628	4611
261	1634	4602
262	1638	4592
263	1643	4582
264	1648	4573
265	1653	4563
266	1658	4554
267	1664	4545
268	1669	4535
269	1673	4525
270	1678	4516
271	1683	4507
272	1689	4497
273	1694	4488
274	1699	4479
275	1704	4470
276	1708	4460
277	1714	4451
278	1720	4445
279	1725	4437
280	1730	4428
281	1735	4420
282	1740	4409
283	1745	4401
284	1750	4392
285	1755	4383
286	1761	4375
287	1766	4367
288	1771	4357
289	1776	4349
290	1781	4340
291	1786	4332
292	1791	4323
293	1797	4315
294	1802	4306
295	1807	4297
296	1812	4289
297	1817	4281
298	1822	4272
299	1827	4264
300	1832	4255
301	1837	4247
302	1842	4238
303	1847	4229
304	1852	4220
305	1857	4212
306	1862	4203
307	1867	4195
308	1872	4186
309	1877	4178
310	1882	4170
311	1887	4161
312	1892	4154
313	1897	4146
314	1902	4137
315	1907	4129
316	1913	4121
317	1917	4112
318	1923	4105
319	1928	4097
320	1933	4089
321	1938	4081
322	1943	4072
323	1947	4063
324	1952	4055
325	1958	4048
326	1963	4040
327	1968	4033
328	1973	4025
329	1978	4017
330	1983	4009
331	1989	4002
332	1994	3994
333	1999	3986
334	2004	3979
335	2010	3972
336	2015	3964
337	2020	3956
338	2025	3949
339	2030	3940
340	2035	3933
341	2040	3926
342	2046	3919
343	2051	3912
344	2056	3905
345	2062	3897
346	2067	3890
347	2072	3883
348	2078	3876
349	2083	3868
350	2088	3861
351	2093	3854
352	2098	3846
353	2103	3839
354	2108	3831
355	2113	3823
356	2119	3816
357	2123	3808
358	2128	3801
359	2133	3793
360	2139	3786
361	2144	3778
362	2149	3771
363	2154	3764
364	2159	3757
365	2164	3749
366	2169	3741
367	2174	3734
368	2179	3726
369	2184	3720
370	2189	3712
371	2194	3705
372	2200	3698
373	2205	3692
374	2210	3684
375	2216	3677
376	2220	3669
377	2225	3662
378	2231	3655
379	2235	3647
380	2240	3640
381	2245	3633
382	2250	3625
383	2255	3617
384	2260	3610
385	2265	3603
386	2270	3596
387	2275	3588
388	2280	3582
389	2285	3575
390	2290	3567
391	2295	3561
392	2301	3554
393	2306	3547
394	2311	3540
395	2316	3532
396	2321	3525
397	2326	3519
398	2331	3511
399	2336	3505
400	2342	3498
401	2347	3491
402	2352	3484
403	2357	3477
404	2361	3470
405	2366	3462
406	2372	3456
407	2377	3450
408	2383	3443
409	2388	3437
410	2394	3430
411	2399	3424
412	2404	3417
413	2410	3412
414	2415	3405
415	2420	3398
416	2425	3391
417	2430	3384
418	2435	3377
419	2440	3370
420	2446	3364
421	2451	3357
422	2456	3350
423	2461	3343
424	2466	3337
425	2471	3330
426	2476	3323
427	2481	3316
428	2486	3309
429	2491	3302
430	2496	3296
431	2501	3289
432	2506	3282
433	2511	3275
434	2516	3268
435	2521	3262
436	2526	3255
437	2531	3248
438	2536	3241
439	2541	3235
440	2546	3228
441	2551	3221
442	2557	3215
443	2562	3209
444	2568	3202
445	2573	3196
446	2578	3190
447	2583	3183
448	2588	3176
449	2593	3170
450	2598	3163
451	2604	3157
452	2609	3150
453	2614	3144
454	2620	3138
455	2625	3131
456	2630	3125
457	2635	3119
458	2641	3112
459	2646	3106
460	2651	3100
461	2656	3093
462	2661	3086
463	2666	3080
464	2671	3073
465	2676	3067
466	2682	3061
467	2687	3054
468	2692	3048
469	2698	3042
470	2703	3036
471	2708	3030
472	2714	3024
473	2720	3018
474	2725	3012
475	2730	3005
476	2735	2999
477	2740	2992
478	2745	2986
479	2750	2979
480	2755	2973
481	2760	2966
482	2766	2961
483	2771	2954
484	2776	2948
485	2781	2941
486	2786	2935
487	2791	2928
488	2796	2921
489	2801	2915
490	2806	2909
491	2811	2902
492	2816	2896
493	2821	2890
494	2826	2883
495	2831	2877
496	2837	2871
497	2842	2865
498	2848	2859
499	2853	2853
500	2858	2846
501	2863	2840
502	2868	2834
503	2873	2828
504	2878	2821
505	2883	2815
506	2888	2808
507	2893	2802
508	2898	2796
509	2903	2789
510	2909	2783
511	2914	2777
512	2919	2771
513	2924	2764
514	2929	2758
515	2934	2752
516	2939	2746
517	2944	2740
518	2949	2733
519	2955	2727
520	2960	2721
521	2965	2715
522	2970	2709
523	2976	2703
524	2980	2697
525	2985	2690
526	2991	2684
527	2995	2678
528	3000	2671
529	3006	2665
530	3011	2659
531	3017	2654
532	3021	2647
533	3027	2641
534	3032	2635
535	3037	2629
536	3042	2623
537	3047	2617
538	3052	2610
539	3058	2604
540	3063	2599
541	3068	2593
542	3074	2587
543	3079	2581
544	3085	2575
545	3090	2569
546	3094	2562
547	3099	2556
548	3104	2550
549	3109	2543
550	3114	2537
551	3119	2531
552	3124	2525
553	3128	2518
554	3133	2512
555	3139	2506
556	3143	2500
557	3149	2494
558	3154	2488
559	3160	2482
560	3165	2476
561	3170	2470
562	3175	2464
563	3180	2458
564	3185	2452
565	3191	2447
566	3196	2441
567	3201	2435
568	3206	2428
569	3212	2423
570	3217	2417
571	3222	2411
572	3228	2405
573	3233	2399
574	3238	2393
575	3244	2387
576	3249	2382
577	3254	2376
578	3260	2370
579	3265	2364
580	3270	2358
581	3275	2352
582	3279	2345
583	3284	2339
584	3289	2333
585	3294	2327
586	3299	2321
587	3304	2315
588	3309	2309
589	3314	2303
590	3319	2297
591	3324	2291
592	3328	2284
593	3334	2279
594	3339	2273
595	3344	2267
596	3350	2261
597	3355	2255
598	3360	2250
599	3366	2244
600	3372	2238
601	3377	2233
602	3383	2227
603	3388	2221
604	3393	2215
605	3399	2209
606	3404	2204
607	3409	2198
608	3414	2192
609	3419	2185
610	3423	2179
611	3428	2173
612	3433	2167
613	3438	2161
614	3443	2155
615	3448	2149
616	3453	2143
617	3458	2137
618	3463	2132
619	3469	2126
620	3474	2120
621	3479	2114
622	3484	2108
623	3489	2102
624	3494	2096
625	3499	2090
626	3505	2085
627	3510	2079
628	3515	2073
629	3520	2067
630	3526	2062
631	3531	2056
632	3536	2050
633	3542	2044
634	3546	2038
635	3552	2033
636	3557	2027
637	3562	2021
638	3567	2015
639	3572	2009
640	3577	2003
641	3582	1997
642	3587	1991
643	3593	1986
644	3598	1980
645	3603	1974
646	3609	1969
647	3615	1963
648	3619	1957
649	3625	1951
650	3630	1946
651	3635	1940
652	3640	1934
653	3645	1928
654	3650	1922
655	3655	1917
656	3661	1911
657	3666	1905
658	3671	1899
659	3676	1894
660	3682	1888
661	3687	1882
662	3691	1876
663	3697	1870
664	3702	1865
665	3707	1859
666	3712	1853
667	3717	1847
668	3723	1842
669	3728	1836
670	3732	1830
671	3738	1824
672	3743	1818
673	3748	1812
674	3753	1807
675	3758	1801
676	3763	1795
677	3768	1789
678	3773	1783
679	3778	1778
680	3783	1772
681	3789	1766
682	3794	1761
683	3799	1755
684	3804	1749
685	3810	1743
686	3815	1738
687	3820	1732
688	3825	1726
689	3831	1721
690	3836	1715
691	3841	1709
692	3846	1704
693	3851	1698
694	3856	1692
695	3861	1686
696	3866	1681
697	3871	1675
698	3877	1669
699	3882	1663
700	3887	1658
701	3892	1652
702	3897	1646
703	3903	1641
704	3908	1635
705	3913	1629
706	3918	1623
707	3923	1618
708	3928	1612
709	3933	1606
710	3938	1601
711	3944	1595
