,대상월,신규취급액기준 COFIX
0,2013-11,2.6
1,2013-10,2.62
2,2013-09,2.63
3,2013-08,2.62
4,2013-07,2.63
5,2013-06,2.65
6,2013-05,2.66
7,2013-04,2.74
8,2013-03,2.85
9,2013-02,2.93
10,2013-01,2.99
11,2012-12,3.09
0,2014-11,2.1
1,2014-10,2.17
2,2014-09,2.27
3,2014-08,2.34
4,2014-07,2.48
5,2014-06,2.57
6,2014-05,2.58
7,2014-04,2.59
8,2014-03,2.59
9,2014-02,2.62
10,2014-01,2.64
11,2013-12,2.66
0,2015-11,1.66
1,2015-10,1.57
2,2015-09,1.54
3,2015-08,1.55
4,2015-07,1.56
5,2015-06,1.66
6,2015-05,1.75
7,2015-04,1.77
8,2015-03,1.91
9,2015-02,2.03
10,2015-01,2.08
11,2014-12,2.16
0,2016-11,1.51
1,2016-10,1.41
2,2016-09,1.35
3,2016-08,1.31
4,2016-07,1.32
5,2016-06,1.44
6,2016-05,1.54
7,2016-04,1.55
8,2016-03,1.55
9,2016-02,1.57
10,2016-01,1.65
11,2015-12,1.72
0,2017-11,1.77
1,2017-10,1.62
2,2017-09,1.52
3,2017-08,1.47
4,2017-07,1.47
5,2017-06,1.48
6,2017-05,1.47
7,2017-04,1.46
8,2017-03,1.48
9,2017-02,1.48
10,2017-01,1.5
11,2016-12,1.56
0,2018-11,1.96
1,2018-10,1.93
2,2018-09,1.83
3,2018-08,1.8
4,2018-07,1.81
5,2018-06,1.84
6,2018-05,1.82
7,2018-04,1.79
8,2018-03,1.82
9,2018-02,1.77
10,2018-01,1.78
11,2017-12,1.79
0,2019-11,1.63
1,2019-10,1.55
2,2019-09,1.57
3,2019-08,1.52
4,2019-07,1.68
5,2019-06,1.78
6,2019-05,1.85
7,2019-04,1.85
8,2019-03,1.94
9,2019-02,1.92
10,2019-01,1.99
11,2018-12,2.04
0,2020-11,0.9
1,2020-10,0.87
2,2020-09,0.88
3,2020-08,0.8
4,2020-07,0.81
5,2020-06,0.89
6,2020-05,1.06
7,2020-04,1.2
8,2020-03,1.26
9,2020-02,1.43
10,2020-01,1.54
11,2019-12,1.6
0,2021-11,1.55
1,2021-10,1.29
2,2021-09,1.16
3,2021-08,1.02
4,2021-07,0.95
5,2021-06,0.92
6,2021-05,0.82
7,2021-04,0.82
8,2021-03,0.84
9,2021-02,0.83
10,2021-01,0.86
11,2020-12,0.9
0,2022-11,4.34
1,2022-10,3.98
2,2022-09,3.4
3,2022-08,2.96
4,2022-07,2.9
5,2022-06,2.38
6,2022-05,1.98
7,2022-04,1.84
8,2022-03,1.72
9,2022-02,1.7
10,2022-01,1.64
11,2021-12,1.69
0,2023-11,4.0
1,2023-10,3.97
2,2023-09,3.82
3,2023-08,3.66
4,2023-07,3.69
5,2023-06,3.7
6,2023-05,3.56
7,2023-04,3.44
8,2023-03,3.56
9,2023-02,3.53
10,2023-01,3.82
11,2022-12,4.29
0,2024-02,3.62
1,2024-01,3.66
2,2023-12,3.84
