Date,Open,High,Low,Close,Volume,log_return,target,moving_average_5,moving_average_10,moving_average_30,moving_average_60,moving_average_120,moving_average_240,base,cofix_short,exchange
2014-12-23,7290.0,7290.0,7250.0,7290.0,2424.0,0.0020597329630105,1,7252.0,7275.5,7511.166666666667,7756.75,8018.0,7917.6875,2.0,2.0,1102.7
2014-12-24,7300.0,7365.0,7265.0,7365.0,21753.0,0.0102355038940267,1,7269.0,7264.5,7491.0,7741.333333333333,8015.125,7912.6875,2.0,2.0,1102.6
2014-12-26,7400.0,7420.0,7360.0,7385.0,7384.0,0.0027118660687495,1,7292.0,7271.0,7472.333333333333,7726.416666666667,8013.458333333333,7909.0625,2.0,2.0,1098.7
2014-12-29,7465.0,7465.0,7320.0,7340.0,10208.0,-0.0061120733569188,0,7319.0,7284.0,7454.666666666667,7713.583333333333,8011.916666666667,7905.520833333333,2.0,2.05,1097.8
2014-12-30,7375.0,7375.0,7110.0,7135.0,30329.0,-0.0283265916976244,0,7331.0,7287.5,7441.666666666667,7703.583333333333,8010.083333333333,7902.104166666667,2.0,2.05,1099.3
2015-01-02,7125.0,7140.0,7055.0,7065.0,9180.0,-0.0098592347923089,0,7303.0,7277.5,7421.833333333333,7689.333333333333,8006.916666666667,7897.6875,2.0,2.05,1103.5
2015-01-05,7050.0,7065.0,6925.0,6970.0,35521.0,-0.0135377913640582,0,7258.0,7263.5,7399.666666666667,7674.0,8002.958333333333,7892.583333333333,2.0,2.08,1109.9
2015-01-06,6870.0,6925.0,6860.0,6885.0,55901.0,-0.0122700925918143,0,7179.0,7235.5,7372.0,7655.583333333333,7998.208333333333,7887.916666666667,2.0,2.08,1098.8
2015-01-07,6855.0,6875.0,6785.0,6815.0,196842.0,-0.0102190670321222,0,7079.0,7199.0,7346.666666666667,7637.0,7992.5,7882.833333333333,2.0,2.08,1099.9
2015-01-08,6815.0,7065.0,6815.0,7055.0,13111.0,0.0346105201562814,1,6974.0,7152.5,7321.666666666667,7617.0,7986.291666666667,7877.833333333333,2.0,2.08,1096.9
2015-01-09,7120.0,7170.0,7120.0,7150.0,9097.0,0.0133757714011389,1,6958.0,7130.5,7301.0,7601.0,7982.541666666667,7873.604166666667,2.0,2.08,1090.0
2015-01-12,7095.0,7095.0,6960.0,6960.0,8480.0,-0.0269328823595879,0,6975.0,7116.5,7285.0,7588.333333333333,7979.333333333333,7869.75,2.0,2.05,1081.4
2015-01-13,6960.0,7030.0,6940.0,6970.0,4645.0,0.0014357504261041,1,6973.0,7076.0,7262.5,7573.25,7973.875,7865.520833333333,2.0,2.05,1083.5
2015-01-14,6975.0,7030.0,6975.0,7025.0,9463.0,0.0078599904473768,1,6990.0,7034.5,7242.833333333333,7558.333333333333,7968.166666666667,7861.541666666667,2.0,2.05,1082.2
2015-01-15,7030.0,7030.0,6955.0,6980.0,6478.0,-0.0064262984455284,0,7032.0,7003.0,7226.5,7545.0,7962.75,7857.4375,2.0,2.05,1083.3
2015-01-16,6945.0,6945.0,6835.0,6870.0,6230.0,-0.0158848105400231,0,7017.0,6987.5,7212.666666666667,7529.416666666667,7957.708333333333,7853.270833333333,2.0,2.05,1077.3
2015-01-19,6935.0,7045.0,6930.0,6995.0,8217.0,0.0180315018831864,1,6961.0,6968.0,7195.5,7515.75,7951.083333333333,7849.145833333333,2.0,2.0,1078.0
2015-01-20,6985.0,7025.0,6985.0,7025.0,40809.0,0.004279607102365,1,6968.0,6970.5,7181.5,7499.916666666667,7945.041666666667,7845.166666666667,2.0,2.0,1088.4
2015-01-21,7030.0,7035.0,6990.0,7035.0,3367.0,0.001422475346543,1,6979.0,6984.5,7166.0,7486.666666666667,7938.458333333333,7841.729166666667,2.0,2.0,1083.4
2015-01-22,7060.0,7065.0,7040.0,7060.0,5436.0,0.0035473609387982,1,6981.0,7006.5,7150.833333333333,7474.916666666667,7932.375,7838.583333333333,2.0,2.0,1084.9
2015-01-23,7155.0,7220.0,7140.0,7180.0,8743.0,0.0168543315549821,1,6997.0,7007.0,7137.666666666667,7459.916666666667,7925.375,7834.583333333333,2.0,2.0,1084.1
2015-01-26,7185.0,7280.0,7125.0,7215.0,22763.0,0.0048628091657013,1,7059.0,7010.0,7130.333333333333,7447.083333333333,7916.833333333333,7831.916666666667,2.0,1.97,1080.8
2015-01-27,7265.0,7265.0,7170.0,7200.0,7033.0,-0.0020811662038245,0,7103.0,7035.5,7127.5,7429.5,7907.0,7829.979166666667,2.0,1.97,1079.8
2015-01-28,7175.0,7175.0,6995.0,7005.0,17899.0,-0.0274568462330393,0,7138.0,7058.5,7125.666666666667,7412.0,7896.25,7827.958333333333,2.0,1.97,1084.5
2015-01-29,6955.0,7085.0,6955.0,7070.0,6256.0,0.009236300119511,1,7132.0,7056.5,7115.666666666667,7392.75,7883.416666666667,7824.854166666667,2.0,1.97,1093.9
2015-01-30,7100.0,7100.0,6985.0,7030.0,121610.0,-0.0056737740859078,0,7134.0,7065.5,7110.166666666667,7376.25,7871.125,7822.0625,2.0,1.97,1093.5
2015-02-02,7015.0,7030.0,6990.0,7020.0,7168.0,-0.0014234877848537,0,7104.0,7081.5,7104.333333333333,7359.333333333333,7858.625,7819.75,2.0,1.95,1103.3
2015-02-03,7085.0,7165.0,7070.0,7145.0,6723.0,0.0176495933441109,1,7065.0,7084.0,7096.666666666667,7342.0,7846.458333333333,7817.145833333333,2.0,1.95,1097.4
2015-02-04,7180.0,7215.0,7155.0,7175.0,4711.0,0.0041899502638541,1,7054.0,7096.0,7093.166666666667,7325.75,7834.666666666667,7814.833333333333,2.0,1.95,1084.1
2015-02-05,7115.0,7115.0,6835.0,6850.0,303529.0,-0.0463541093715508,0,7088.0,7110.0,7089.666666666667,7311.75,7823.125,7812.979166666667,2.0,1.95,1090.5
2015-02-06,6850.0,6910.0,6835.0,6905.0,485885.0,0.0079971345871214,1,7044.0,7089.0,7075.5,7293.333333333333,7809.875,7809.666666666667,2.0,1.95,1089.7
2015-02-09,6900.0,6910.0,6795.0,6805.0,57371.0,-0.014588150757826,0,7019.0,7061.5,7062.666666666667,7276.833333333333,7796.875,7805.354166666667,2.0,1.92,1094.9
2015-02-10,6820.0,6845.0,6800.0,6830.0,15134.0,0.0036670374792693,1,6976.0,7020.5,7044.0,7258.166666666667,7782.375,7800.541666666667,2.0,1.92,1089.7
