Date,base,cofix_short,exchange
2014-12-23,2.0,2.0,1102.7
2014-12-24,2.0,2.0,1102.6
2014-12-26,2.0,2.0,1098.7
2014-12-29,2.0,2.05,1097.8
2014-12-30,2.0,2.05,1099.3
2015-01-02,2.0,2.05,1103.5
2015-01-05,2.0,2.08,1109.9
2015-01-06,2.0,2.08,1098.8
2015-01-07,2.0,2.08,1099.9
2015-01-08,2.0,2.08,1096.9
2015-01-09,2.0,2.08,1090.0
2015-01-12,2.0,2.05,1081.4
2015-01-13,2.0,2.05,1083.5
2015-01-14,2.0,2.05,1082.2
2015-01-15,2.0,2.05,1083.3
2015-01-16,2.0,2.05,1077.3
2015-01-19,2.0,2.0,1078.0
2015-01-20,2.0,2.0,1088.4
2015-01-21,2.0,2.0,1083.4
2015-01-22,2.0,2.0,1084.9
2015-01-23,2.0,2.0,1084.1
2015-01-26,2.0,1.97,1080.8
2015-01-27,2.0,1.97,1079.8
2015-01-28,2.0,1.97,1084.5
2015-01-29,2.0,1.97,1093.9
2015-01-30,2.0,1.97,1093.5
2015-02-02,2.0,1.95,1103.3
2015-02-03,2.0,1.95,1097.4
2015-02-04,2.0,1.95,1084.1
2015-02-05,2.0,1.95,1090.5
2015-02-06,2.0,1.95,1089.7
2015-02-09,2.0,1.92,1094.9
2015-02-10,2.0,1.92,1089.7
2015-02-11,2.0,1.92,1097.7
2015-02-12,2.0,1.92,1110.7
2015-02-13,2.0,1.92,1097.0
2015-02-16,2.0,1.92,1102.4
2015-02-17,2.0,1.92,1101.8
2015-02-23,2.0,1.94,1108.7
2015-02-24,2.0,1.94,1109.9
2015-02-25,2.0,1.94,1099.0
2015-02-26,2.0,1.94,1097.2
2015-02-27,2.0,1.94,1098.4
2015-03-02,2.0,1.94,1100.8
2015-03-03,2.0,1.94,1096.4
2015-03-04,2.0,1.94,1097.7
2015-03-05,2.0,1.94,1101.3
2015-03-06,2.0,1.94,1098.7
2015-03-09,2.0,1.93,1112.1
2015-03-10,2.0,1.93,1122.6
2015-03-11,2.0,1.93,1126.5
2015-03-12,1.75,1.93,1126.4
2015-03-13,1.75,1.93,1128.5
2015-03-16,1.75,1.72,1131.5
2015-03-17,1.75,1.72,1128.9
2015-03-18,1.75,1.72,1129.9
2015-03-19,1.75,1.72,1117.2
2015-03-20,1.75,1.72,1123.0
2015-03-23,1.75,1.77,1114.6
2015-03-24,1.75,1.77,1104.6
2015-03-25,1.75,1.77,1100.8
2015-03-26,1.75,1.77,1108.0
2015-03-27,1.75,1.77,1103.3
2015-03-30,1.75,1.73,1104.9
2015-03-31,1.75,1.73,1109.5
2015-04-01,1.75,1.73,1102.4
2015-04-02,1.75,1.73,1095.5
2015-04-03,1.75,1.73,1092.7
2015-04-06,1.75,1.73,1084.8
2015-04-07,1.75,1.73,1088.5
2015-04-08,1.75,1.73,1091.0
2015-04-09,1.75,1.73,1092.3
2015-04-10,1.75,1.73,1092.7
2015-04-13,1.75,1.7,1098.6
2015-04-14,1.75,1.7,1094.0
2015-04-15,1.75,1.7,1096.8
2015-04-16,1.75,1.7,1088.9
2015-04-17,1.75,1.7,1083.7
2015-04-20,1.75,1.67,1079.2
2015-04-21,1.75,1.67,1083.4
2015-04-22,1.75,1.67,1079.6
2015-04-23,1.75,1.67,1082.2
2015-04-24,1.75,1.67,1079.4
2015-04-27,1.75,1.7,1073.0
2015-04-28,1.75,1.7,1070.0
2015-04-29,1.75,1.7,1068.6
2015-04-30,1.75,1.7,1072.4
2015-05-04,1.75,1.65,1079.2
2015-05-06,1.75,1.65,1080.0
2015-05-07,1.75,1.65,1089.7
2015-05-08,1.75,1.65,1088.3
2015-05-11,1.75,1.68,1091.3
2015-05-12,1.75,1.68,1095.8
2015-05-13,1.75,1.68,1099.7
2015-05-14,1.75,1.68,1090.5
2015-05-15,1.75,1.68,1085.7
2015-05-18,1.75,1.65,1085.6
2015-05-19,1.75,1.65,1088.1
2015-05-20,1.75,1.65,1096.0
2015-05-21,1.75,1.65,1094.0
2015-05-22,1.75,1.65,1090.1
2015-05-26,1.75,1.69,1101.0
2015-05-27,1.75,1.69,1105.5
2015-05-28,1.75,1.69,1105.8
2015-05-29,1.75,1.69,1108.2
2015-06-01,1.75,1.69,1110.2
2015-06-02,1.75,1.69,1112.4
2015-06-03,1.75,1.69,1104.7
2015-06-04,1.75,1.69,1113.9
2015-06-05,1.75,1.69,1111.1
2015-06-08,1.75,1.65,1123.3
2015-06-09,1.75,1.65,1118.9
2015-06-10,1.75,1.65,1108.2
2015-06-11,1.5,1.65,1108.8
2015-06-12,1.5,1.65,1114.7
2015-06-15,1.5,1.56,1117.3
2015-06-16,1.5,1.56,1118.6
2015-06-17,1.5,1.56,1117.9
2015-06-18,1.5,1.56,1107.1
2015-06-19,1.5,1.56,1107.1
2015-06-22,1.5,1.48,1098.8
2015-06-23,1.5,1.48,1104.6
2015-06-24,1.5,1.48,1108.4
2015-06-25,1.5,1.48,1110.0
2015-06-26,1.5,1.48,1116.9
2015-06-29,1.5,1.51,1125.3
2015-06-30,1.5,1.51,1115.5
2015-07-01,1.5,1.51,1117.5
2015-07-02,1.5,1.51,1125.0
2015-07-03,1.5,1.51,1123.0
2015-07-06,1.5,1.52,1126.5
2015-07-07,1.5,1.52,1130.2
2015-07-08,1.5,1.52,1136.7
2015-07-09,1.5,1.52,1133.9
2015-07-10,1.5,1.52,1129.7
2015-07-13,1.5,1.51,1130.6
2015-07-14,1.5,1.51,1142.6
2015-07-15,1.5,1.51,1143.6
2015-07-16,1.5,1.51,1149.2
2015-07-17,1.5,1.51,1147.5
2015-07-20,1.5,1.48,1152.1
2015-07-21,1.5,1.48,1158.3
2015-07-22,1.5,1.48,1153.6
2015-07-23,1.5,1.48,1165.1
2015-07-24,1.5,1.48,1167.9
2015-07-27,1.5,1.49,1167.0
2015-07-28,1.5,1.49,1164.9
2015-07-29,1.5,1.49,1158.4
2015-07-30,1.5,1.49,1168.4
2015-07-31,1.5,1.49,1170.0
2015-08-03,1.5,1.46,1165.9
2015-08-04,1.5,1.46,1165.5
2015-08-05,1.5,1.46,1173.6
2015-08-06,1.5,1.46,1166.2
2015-08-07,1.5,1.46,1167.4
2015-08-10,1.5,1.45,1163.2
2015-08-11,1.5,1.45,1179.1
2015-08-12,1.5,1.45,1190.8
2015-08-13,1.5,1.45,1174.0
2015-08-17,1.5,1.43,1183.1
2015-08-18,1.5,1.43,1185.0
2015-08-19,1.5,1.43,1185.3
2015-08-20,1.5,1.43,1185.1
2015-08-21,1.5,1.43,1195.0
2015-08-24,1.5,1.45,1199.0
2015-08-25,1.5,1.45,1195.3
2015-08-26,1.5,1.45,1186.0
2015-08-27,1.5,1.45,1185.2
2015-08-28,1.5,1.45,1173.6
2015-08-31,1.5,1.48,1182.5
2015-09-01,1.5,1.48,1171.8
2015-09-02,1.5,1.48,1180.7
2015-09-03,1.5,1.48,1190.3
2015-09-04,1.5,1.48,1193.4
2015-09-07,1.5,1.46,1203.7
2015-09-08,1.5,1.46,1200.9
2015-09-09,1.5,1.46,1189.4
2015-09-10,1.5,1.46,1194.4
2015-09-11,1.5,1.46,1184.5
2015-09-14,1.5,1.44,1183.1
2015-09-15,1.5,1.44,1186.7
2015-09-16,1.5,1.44,1175.9
2015-09-17,1.5,1.44,1165.9
2015-09-18,1.5,1.44,1162.8
2015-09-21,1.5,1.4,1174.7
2015-09-22,1.5,1.4,1179.2
2015-09-23,1.5,1.4,1191.2
2015-09-24,1.5,1.4,1192.5
2015-09-25,1.5,1.4,1194.7
2015-09-30,1.5,1.44,1185.3
2015-10-01,1.5,1.44,1176.3
2015-10-02,1.5,1.44,1180.7
2015-10-05,1.5,1.45,1172.4
2015-10-06,1.5,1.45,1165.9
2015-10-07,1.5,1.45,1161.3
2015-10-08,1.5,1.45,1159.0
2015-10-12,1.5,1.45,1143.5
2015-10-13,1.5,1.45,1149.7
2015-10-14,1.5,1.45,1146.8
2015-10-15,1.5,1.45,1130.2
2015-10-16,1.5,1.45,1129.1
2015-10-19,1.5,1.46,1121.0
2015-10-20,1.5,1.46,1131.0
2015-10-21,1.5,1.46,1132.5
2015-10-22,1.5,1.46,1138.6
2015-10-23,1.5,1.46,1124.7
2015-10-26,1.5,1.49,1133.8
2015-10-27,1.5,1.49,1131.0
