Date,환율
2013-12-27,1053.9
2013-12-30,1055.4
2014-01-02,1050.3
2014-01-03,1055.2
2014-01-06,1065.4
2014-01-07,1068.3
2014-01-08,1064.9
2014-01-09,1062.9
2014-01-10,1061.4
2014-01-13,1056.7
2014-01-14,1059.1
2014-01-15,1062.7
2014-01-16,1063.4
2014-01-17,1059.7
2014-01-20,1063.7
2014-01-21,1065.3
2014-01-22,1067.4
2014-01-23,1073.9
2014-01-24,1080.4
2014-01-27,1083.6
2014-01-28,1081.2
2014-01-29,1070.4
2014-02-03,1084.5
2014-02-04,1083.8
2014-02-05,1077.9
2014-02-06,1079.0
2014-02-07,1074.3
2014-02-10,1071.2
2014-02-11,1071.1
2014-02-12,1062.4
2014-02-13,1066.4
2014-02-14,1063.7
2014-02-17,1060.5
2014-02-18,1065.7
2014-02-19,1065.5
2014-02-20,1072.2
2014-02-21,1072.1
2014-02-24,1074.5
2014-02-25,1072.9
2014-02-26,1065.4
2014-02-27,1068.8
2014-02-28,1067.5
2014-03-03,1070.2
2014-03-04,1073.5
2014-03-05,1070.9
2014-03-06,1064.1
2014-03-07,1060.6
2014-03-10,1066.5
2014-03-11,1065.1
2014-03-12,1070.4
2014-03-13,1069.0
2014-03-14,1072.8
2014-03-17,1067.4
2014-03-18,1069.2
2014-03-19,1070.5
2014-03-20,1076.2
2014-03-21,1080.3
2014-03-24,1077.8
2014-03-25,1079.4
2014-03-26,1075.0
2014-03-27,1071.5
2014-03-28,1069.3
2014-03-31,1064.7
2014-04-01,1058.5
2014-04-02,1056.6
2014-04-03,1057.9
2014-04-04,1053.5
2014-04-07,1055.4
2014-04-08,1052.2
2014-04-09,1041.4
2014-04-10,1040.2
2014-04-11,1035.0
2014-04-14,1038.9
2014-04-15,1040.9
2014-04-16,1037.7
2014-04-17,1038.8
2014-04-18,1037.4
2014-04-21,1039.0
2014-04-22,1037.7
2014-04-23,1039.8
2014-04-24,1039.2
2014-04-25,1041.5
2014-04-28,1035.0
2014-04-29,1030.6
2014-04-30,1033.2
2014-05-02,1030.3
2014-05-07,1022.5
2014-05-08,1022.6
2014-05-09,1024.4
2014-05-12,1024.4
2014-05-13,1022.1
2014-05-14,1027.9
2014-05-15,1025.3
2014-05-16,1024.0
2014-05-19,1022.0
2014-05-20,1025.3
2014-05-21,1026.9
2014-05-22,1024.2
2014-05-23,1024.6
2014-05-26,1024.0
2014-05-27,1023.2
2014-05-28,1021.4
2014-05-29,1020.6
2014-05-30,1020.1
2014-06-02,1024.1
2014-06-03,1023.1
2014-06-05,1020.5
2014-06-09,1016.2
2014-06-10,1017.2
2014-06-11,1015.7
2014-06-12,1017.7
2014-06-13,1017.8
2014-06-16,1020.1
2014-06-17,1021.9
2014-06-18,1022.4
2014-06-19,1018.7
2014-06-20,1020.6
2014-06-23,1018.5
2014-06-24,1018.4
2014-06-25,1021.0
2014-06-26,1016.2
2014-06-27,1013.4
2014-06-30,1011.8
2014-07-01,1011.7
2014-07-02,1009.2
2014-07-03,1008.5
2014-07-04,1008.9
2014-07-07,1010.5
2014-07-08,1011.9
2014-07-09,1012.1
2014-07-10,1013.4
2014-07-11,1019.0
2014-07-14,1018.2
2014-07-15,1027.4
2014-07-16,1032.1
2014-07-17,1029.1
2014-07-18,1029.5
2014-07-21,1026.8
2014-07-22,1024.5
2014-07-23,1023.7
2014-07-24,1028.6
2014-07-25,1025.9
2014-07-28,1026.3
2014-07-29,1024.4
2014-07-30,1024.3
2014-07-31,1027.9
2014-08-01,1037.1
2014-08-04,1033.5
2014-08-05,1028.2
2014-08-06,1033.7
2014-08-07,1037.6
2014-08-08,1036.5
2014-08-11,1030.3
2014-08-12,1026.4
2014-08-13,1028.9
2014-08-14,1021.2
2014-08-18,1017.6
2014-08-19,1017.3
2014-08-20,1022.7
2014-08-21,1023.6
2014-08-22,1017.7
2014-08-25,1020.2
2014-08-26,1016.8
2014-08-27,1014.4
2014-08-28,1014.4
2014-08-29,1014.0
2014-09-01,1013.1
2014-09-02,1018.3
2014-09-03,1020.0
2014-09-04,1019.0
2014-09-05,1024.2
2014-09-11,1036.1
2014-09-12,1035.3
2014-09-15,1038.0
2014-09-16,1036.7
2014-09-17,1034.9
2014-09-18,1043.4
2014-09-19,1044.6
2014-09-22,1040.7
2014-09-23,1040.0
2014-09-24,1039.9
2014-09-25,1042.6
2014-09-26,1044.4
2014-09-29,1053.8
2014-09-30,1055.2
2014-10-01,1062.7
2014-10-02,1061.4
2014-10-06,1069.0
2014-10-07,1066.1
2014-10-08,1074.1
2014-10-10,1070.5
2014-10-13,1067.9
2014-10-14,1064.5
2014-10-15,1063.1
2014-10-16,1061.5
2014-10-17,1065.9
2014-10-20,1059.6
2014-10-21,1054.7
2014-10-22,1051.4
2014-10-23,1056.1
2014-10-24,1057.5
2014-10-27,1052.2
2014-10-28,1049.7
2014-10-29,1047.3
2014-10-30,1055.5
2014-10-31,1068.5
2014-11-03,1072.6
2014-11-04,1076.5
2014-11-05,1083.6
2014-11-06,1083.8
2014-11-07,1093.7
2014-11-10,1085.0
2014-11-11,1091.6
2014-11-12,1096.0
2014-11-13,1096.6
2014-11-14,1100.5
2014-11-17,1093.9
2014-11-18,1099.0
2014-11-19,1106.3
2014-11-20,1115.1
2014-11-21,1113.8
2014-11-24,1112.3
2014-11-25,1109.1
2014-11-26,1106.5
2014-11-27,1098.4
2014-11-28,1107.9
2014-12-01,1113.5
2014-12-02,1106.8
2014-12-03,1112.9
2014-12-04,1115.2
2014-12-05,1114.1
2014-12-08,1117.7
2014-12-09,1107.8
2014-12-10,1102.2
2014-12-11,1100.9
2014-12-12,1103.1
2014-12-15,1099.1
2014-12-16,1086.7
2014-12-17,1094.9
2014-12-18,1101.5
2014-12-19,1102.0
2014-12-22,1096.2
2014-12-23,1102.7
2014-12-24,1102.6
2014-12-26,1098.7
2014-12-29,1097.8
2014-12-30,1099.3
2015-01-02,1103.5
2015-01-05,1109.9
2015-01-06,1098.8
2015-01-07,1099.9
2015-01-08,1096.9
2015-01-09,1090.0
2015-01-12,1081.4
2015-01-13,1083.5
2015-01-14,1082.2
2015-01-15,1083.3
2015-01-16,1077.3
2015-01-19,1078.0
2015-01-20,1088.4
2015-01-21,1083.4
2015-01-22,1084.9
2015-01-23,1084.1
2015-01-26,1080.8
2015-01-27,1079.8
2015-01-28,1084.5
2015-01-29,1093.9
2015-01-30,1093.5
2015-02-02,1103.3
2015-02-03,1097.4
2015-02-04,1084.1
2015-02-05,1090.5
2015-02-06,1089.7
2015-02-09,1094.9
2015-02-10,1089.7
2015-02-11,1097.7
2015-02-12,1110.7
2015-02-13,1097.0
2015-02-16,1102.4
2015-02-17,1101.8
2015-02-23,1108.7
2015-02-24,1109.9
2015-02-25,1099.0
2015-02-26,1097.2
2015-02-27,1098.4
2015-03-02,1100.8
2015-03-03,1096.4
2015-03-04,1097.7
2015-03-05,1101.3
2015-03-06,1098.7
2015-03-09,1112.1
2015-03-10,1122.6
2015-03-11,1126.5
2015-03-12,1126.4
2015-03-13,1128.5
2015-03-16,1131.5
2015-03-17,1128.9
2015-03-18,1129.9
2015-03-19,1117.2
2015-03-20,1123.0
2015-03-23,1114.6
2015-03-24,1104.6
2015-03-25,1100.8
2015-03-26,1108.0
2015-03-27,1103.3
2015-03-30,1104.9
2015-03-31,1109.5
2015-04-01,1102.4
2015-04-02,1095.5
2015-04-03,1092.7
2015-04-06,1084.8
2015-04-07,1088.5
2015-04-08,1091.0
2015-04-09,1092.3
2015-04-10,1092.7
2015-04-13,1098.6
2015-04-14,1094.0
2015-04-15,1096.8
2015-04-16,1088.9
2015-04-17,1083.7
2015-04-20,1079.2
2015-04-21,1083.4
2015-04-22,1079.6
2015-04-23,1082.2
2015-04-24,1079.4
2015-04-27,1073.0
2015-04-28,1070.0
2015-04-29,1068.6
2015-04-30,1072.4
2015-05-04,1079.2
2015-05-06,1080.0
2015-05-07,1089.7
2015-05-08,1088.3
2015-05-11,1091.3
2015-05-12,1095.8
2015-05-13,1099.7
2015-05-14,1090.5
2015-05-15,1085.7
2015-05-18,1085.6
2015-05-19,1088.1
2015-05-20,1096.0
2015-05-21,1094.0
2015-05-22,1090.1
2015-05-26,1101.0
2015-05-27,1105.5
2015-05-28,1105.8
2015-05-29,1108.2
2015-06-01,1110.2
2015-06-02,1112.4
2015-06-03,1104.7
2015-06-04,1113.9
2015-06-05,1111.1
2015-06-08,1123.3
2015-06-09,1118.9
2015-06-10,1108.2
2015-06-11,1108.8
2015-06-12,1114.7
2015-06-15,1117.3
2015-06-16,1118.6
2015-06-17,1117.9
2015-06-18,1107.1
2015-06-19,1107.1
2015-06-22,1098.8
2015-06-23,1104.6
2015-06-24,1108.4
2015-06-25,1110.0
2015-06-26,1116.9
2015-06-29,1125.3
2015-06-30,1115.5
2015-07-01,1117.5
2015-07-02,1125.0
2015-07-03,1123.0
2015-07-06,1126.5
2015-07-07,1130.2
2015-07-08,1136.7
2015-07-09,1133.9
2015-07-10,1129.7
2015-07-13,1130.6
2015-07-14,1142.6
2015-07-15,1143.6
2015-07-16,1149.2
2015-07-17,1147.5
2015-07-20,1152.1
2015-07-21,1158.3
2015-07-22,1153.6
2015-07-23,1165.1
2015-07-24,1167.9
2015-07-27,1167.0
2015-07-28,1164.9
2015-07-29,1158.4
2015-07-30,1168.4
2015-07-31,1170.0
2015-08-03,1165.9
2015-08-04,1165.5
2015-08-05,1173.6
2015-08-06,1166.2
2015-08-07,1167.4
2015-08-10,1163.2
2015-08-11,1179.1
